%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 27 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.67031021927892
%.kernel.kernels[0].lengthscales: [0.3295105  0.23308286 0.62871839 0.91286576 0.26824262 0.44378951 1.29949554 0.61850463 0.24909865]
%.kernel.kernels[1].variance: 0.10833644718568067
%.likelihood.variance: 0.9129918083230907
%loglikelihood: -6818.00523444997
%RMSE:1.670
%Pearson_correlation_coefficient:0.680,P-value:0.000
%Spearman_correlation_coefficient:0.677,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex
2r9w,-0.2717,1.0713,-1.3535,-0.0892,0.1164,-0.0873,0.5486,-0.6872,1.3224,-0.2083,0.0668,0.3621
2vkm,2.0091,1.5548,2.2865,2.2491,1.9909,0.8022,1.1691,-0.4934,2.8184,2.6609,0.5911,1.24
2w4x,-0.8219,0.8828,-1.6035,-0.6382,-0.957,-1.0274,-1.214,0.5545,-1.1085,-0.7983,0.2656,-0.0278
2wer,1.2125,0.3717,0.5965,-0.0218,-0.2674,0.6926,-0.6504,-0.3765,0.1885,-0.557,-0.8895,0.4121
2wn9,-0.3401,1.3132,2.0665,-0.632,-0.2617,0.93,0.906,-0.3624,0.5904,-0.7983,-0.6991,-1.5412
2wnc,0.1136,1.2471,-0.1335,-0.3263,-0.2026,0.3355,-0.9501,-0.7274,-0.1395,-0.4229,-1.114,0.407
2wvt,-1.2144,0.6930,-0.3335,-1.026,-1.1455,-1.5639,-1.214,0.7852,-1.2618,-0.4229,0.6016,-1.7654
2xii,0.2842,1.5301,0.7465,0.1221,0.1758,-0.4311,-0.1649,-0.7102,0.5819,0.6766,0.4678,0.6487
2xj7,-1.4559,0.7862,0.2065,-0.5296,-0.8144,-1.2938,-1.214,0.0549,-1.2618,-0.3961,0.3776,-0.062
2zb1,1.1350,1.3774,-0.1335,0.2606,0.0638,1.145,1.6839,-0.7817,0.5922,-0.691,-0.5192,0.323
2zda,-0.0624,1.3162,1.9465,0.4204,0.3418,-0.5646,0.3564,-0.4717,0.9597,0.6497,-0.5781,0.8284
2zy1,1.1120,1.4040,0.9465,0.2314,-0.1107,0.9668,0.6413,-0.2294,0.6119,-0.3156,-0.2552,-0.1197
3arp,0.7707,1.6958,0.6965,0.8772,1.2257,1.7891,0.4131,-0.7116,1.172,1.4274,-1.276,-1.4623
3arq,0.5403,1.3957,-0.0535,0.335,0.6956,-0.0432,-0.6155,-0.6987,0.537,0.8911,-0.909,0.7885
3aru,-0.3220,1.2008,-3.2335,-0.7307,-0.3224,-0.0773,-0.3581,-0.0394,-0.4135,-0.4497,-1.107,0.3065
3arv,-0.2869,1.2507,-0.8135,-0.4406,-0.0191,1.0692,0.3198,-0.865,0.0453,0.4084,-1.1975,-1.4776
3ary,-0.8476,1.2052,-0.4535,-0.9578,-0.7061,0.6387,0.3752,-0.5564,-0.3263,-0.1011,-1.276,-1.795
3b1m,1.0738,1.4922,2.0265,1.1028,0.9895,1.2695,0.6193,-0.7721,1.4792,-0.3692,-1.1928,0.9881
3b27,-1.1398,0.6120,-1.2935,-0.6551,-0.9349,0.6323,-0.4161,-0.2936,-0.3494,-0.3692,-1.0044,-1.8983
3b5r,1.6711,1.4217,2.3165,0.6886,-0.2876,1.1382,0.4048,-0.1848,0.558,-0.1011,-0.471,0.7214
3b65,1.4180,1.5952,2.8165,0.3893,-0.331,0.7269,1.9192,-0.2263,0.5196,-0.1279,-0.7894,0.3929
3bgz,-0.0156,1.5217,-0.1935,-0.1162,-0.035,1.0542,-0.7281,-0.4744,1.3673,-0.9056,-1.0727,-0.2051
3bv9,0.4207,1.6747,-1.0935,1.0478,1.8457,-0.956,1.5409,-0.5472,0.2236,0.4352,-0.5138,1.4979
3cj4,-0.3413,1.5067,0.0565,-0.6088,-0.2413,0.4905,0.6492,0.0111,-0.3815,-0.7983,-0.3873,0.7028
3coz,-0.3297,1.4057,-0.8835,0.8567,0.1974,-1.1621,-1.214,-0.5895,-0.8678,0.5693,0.7888,0.3428
3d6q,-2.0184,0.6374,-2.6935,-0.7729,-0.2417,-0.9918,-0.379,-0.4015,-0.2287,-0.557,-0.7116,0.1394
3dx1,0.3419,0.5415,-2.8735,-1.2334,-1.3093,-1.0354,-1.214,0.4707,-1.2618,-0.3961,1.9831,-1.9381
3dx2,-0.8864,1.6533,0.3665,-0.8459,-1.1372,-1.2335,-1.214,0.6715,-1.2618,-0.0743,2.3833,0.0027
3e5a,0.8378,1.5107,1.7765,0.4577,0.5964,0.506,1.2112,-0.9199,0.0493,0.2207,-0.6061,0.2321
3e92,1.2254,1.4922,1.5465,0.2821,0.0879,1.1638,1.9687,-0.6803,0.5772,-0.0206,-0.011,0.3974
3f3d,-2.0179,0.4213,0.7065,-1.2808,-1.3523,-0.7221,-0.6948,1.8317,-1.2618,-0.8519,0.3796,-0.6739
3fur,1.3502,1.5025,1.5465,0.4479,0.2431,2.156,0.6333,-0.8456,1.4478,-0.0206,-0.8531,0.3371
3fv2,1.2540,1.1101,1.6565,0.016,-0.7517,-1.9437,-1.214,-0.0246,-1.2618,0.6497,2.3163,-0.0852
3g31,-1.1595,1.6857,-3.5635,-1.6096,-0.8372,-0.3968,0.4351,-0.4586,-1.2618,-2.0586,-1.276,0.2482
3gc5,0.4121,0.9369,0.8065,-0.2276,-0.3047,-0.3808,-0.9501,-0.313,-0.5754,0.9447,1.2318,0.163
3gr2,-2.1856,1.4681,-3.9335,-1.3447,-1.0311,-0.1526,-0.181,-0.3254,-1.2618,-1.3882,-0.9626,-0.0016
3gv9,-0.8283,0.5664,-4.3335,-1.2744,-1.2296,-0.1152,-0.7162,0.0869,-0.7531,-1.3078,-0.2935,-0.4967
3jvr,-0.4699,1.4015,-0.7335,-0.907,-0.3266,1.459,0.4048,-0.6586,0.5563,-0.5838,-0.6809,0.1017
3jya,-1.0731,1.0325,0.4365,-0.8054,-0.7799,0.9245,-0.6862,-0.3208,-0.0495,-1.4687,-1.276,-0.2346
3kr8,-0.3015,0.9357,1.6465,0.1774,-0.5455,0.8631,-0.1587,-0.4643,0.343,0.1939,-0.4107,0.2777
3n76,-0.0840,1.6173,0.3965,0.3848,-0.4907,-0.3972,0.0858,-0.1416,0.4242,0.4889,1.2031,-0.2317
3nq9,-2.0445,1.4767,-2.4235,-1.7021,-1.2091,0.2012,-0.6573,2.2077,-1.2618,-1.9245,-1.276,-0.7244
3nx7,1.6505,0.7825,1.6465,-0.2426,-0.6345,-0.3883,-0.1584,0.6434,-0.5064,-0.3961,0.3122,0.3753
3o9i,3.4986,0.7745,5.3665,1.7149,1.4552,1.152,0.6348,-0.7208,0.5945,1.1861,0.418,1.2993
3oe4,0.4297,1.6606,1.0165,0.961,0.2916,-0.2134,-1.214,-0.8173,0.5713,1.5883,1.5214,0.3551
3ozs,0.9909,1.6681,-1.1235,0.9781,0.0681,0.118,-1.214,-0.5807,0.5522,1.5615,1.3575,0.3858
3p5o,1.0938,0.3969,0.8065,0.0469,0.292,0.9897,0.704,-0.5432,0.9291,-0.3424,-1.0586,0.4734
3prs,3.2736,0.6345,1.3665,1.8721,2.0134,1.6827,0.3644,-0.4995,1.9934,0.8911,0.5604,1.4142
3pyy,-0.5489,0.9389,0.4065,-0.2196,-0.1855,0.6517,0.3694,-0.6347,0.9866,-0.3692,-0.9274,0.711
3qgy,1.4107,1.1624,1.3465,0.4082,0.2724,0.5724,1.2048,-0.8234,0.4165,0.0598,-0.8716,0.5116
3qqs,-0.6775,0.7132,-0.6335,-0.4324,-0.7728,-0.0883,-0.6862,-0.1115,0.5969,-0.5838,-0.0858,-0.4499
3r88,-1.6795,0.7904,-1.6335,-1.0984,-1.0838,-0.2447,-0.9501,0.4364,-0.7102,-1.1469,-0.812,-0.5656
3rlr,0.6199,0.6475,1.0665,-0.0111,-0.3228,1.2278,-0.0877,-0.3677,-0.0362,-0.0475,-0.9584,-1.1533
3rr4,-0.3167,1.3263,-1.9035,-0.4592,-0.5014,0.1353,-0.6862,-0.4802,-0.5605,0.757,0.5044,0.0322
3rsx,-0.7902,1.3465,-2.0435,-1.021,-0.6689,0.9556,1.0593,-0.4414,0.2062,-1.1201,-0.5706,-1.7258
3ryj,-0.1886,0.7905,1.3465,-0.631,-0.8721,0.0562,-0.1584,0.3583,-0.3325,-0.5033,-0.5056,0.0504
3syr,-0.8079,1.5443,-1.3535,-0.0866,-0.6613,-1.1694,-1.214,0.0014,-0.2357,0.462,1.6376,0.7052
3tsk,1.8857,1.1749,0.7165,1.0898,0.9883,0.2531,1.3691,-0.4856,0.9682,0.5961,-0.5635,0.7371
3twp,-1.8296,0.4255,-2.5335,-1.481,-1.3095,-0.212,-0.6862,0.3302,-0.3325,-1.7636,-0.9218,-0.7986
3u5j,-0.4401,0.9128,-0.8435,-0.5686,-0.2958,0.9663,-0.1231,-0.5896,1.118,-1.0396,-1.276,-1.6484
3u8k,0.0459,1.2031,2.2065,-0.6353,-0.7221,-0.0585,-0.9148,-0.0997,-0.6871,-0.691,-0.7116,-1.7598
3u8n,0.1049,1.2817,3.7165,-0.4304,-0.7163,0.1764,-0.219,-0.0997,-0.7361,-0.2352,-0.718,-1.7269
3uev,-1.0405,0.7073,-0.5635,-1.0884,-0.6686,0.9223,-0.6573,2.8261,-1.2618,-1.5223,-1.276,-0.5753
3uew,-0.1741,0.6362,-0.1435,-1.0024,-0.4772,1.1627,-0.6573,2.9511,-1.2618,-1.5223,-1.0225,-0.5476
3ui7,0.3591,1.3335,2.5465,-0.3768,0.0403,0.2181,0.1553,-0.4787,-0.3583,-0.8519,-0.9729,-1.3865
3up2,0.9331,1.0382,0.9465,0.245,-0.1923,0.8572,0.3485,-0.6006,0.8048,0.6497,-0.3915,0.2244
3uuo,-0.3210,1.5213,1.5065,-0.6058,-0.0345,0.2083,0.1553,-0.4704,-0.5322,-1.2273,-1.1185,-1.5443
3wtj,0.6957,0.6007,0.0765,-0.5992,-0.9282,0.5167,-0.7071,-0.2836,-0.3562,-0.4765,-1.276,-1.5697
3wz8,0.9549,1.4814,-0.6335,0.6647,0.6214,1.6459,-0.2002,-0.7751,2.0864,0.8643,-0.384,0.752
3zdg,-0.6523,1.6160,0.6465,-0.9789,-1.0094,-0.2576,-0.9148,2.6155,-1.2618,-0.9056,-1.0197,-0.1258
3zt2,-1.1298,0.9325,-3.6135,-0.3095,-0.3456,0.3084,0.0432,-0.6729,0.567,-0.5301,-0.1875,0.2016
4abg,-0.9728,1.2517,-2.8835,-1.0848,-0.6914,-0.5178,-0.6862,-0.0181,-0.3325,-1.0664,-0.3823,-1.7385
4agn,-0.6568,1.6589,-2.4835,-0.4368,-0.0881,-0.1945,0.899,0.1505,-0.4247,-0.3692,-0.9826,-1.421
4agp,-0.0941,1.6380,-1.7635,-0.2537,0.4584,0.4484,1.4268,-0.4102,0.5196,-0.4497,-1.276,-1.3671
4agq,-0.0116,1.6212,-1.4435,-0.1817,0.4941,0.4586,1.4268,-0.3952,0.5196,-0.1547,-1.1542,-1.3609
4bkt,-1.2930,1.4641,-2.8335,-1.0332,-0.6643,-0.3729,-0.9148,-0.2179,-0.7149,-0.7447,-0.4197,0.3287
4cig,-0.5520,1.3298,-2.7835,0.1593,1.0328,0.592,0.819,-0.5889,2.0629,0.0062,0.1037,0.8945
4ciw,-0.0906,0.8650,-1.6335,-0.5322,-1.0534,-1.0913,-0.428,0.7302,-0.8985,-0.1547,1.5267,-0.3641
4cr9,-0.7685,0.7140,-2.3535,-1.033,-0.9201,0.3894,0.3838,-0.0101,-0.3325,-0.6642,-1.0385,-1.8574
4cra,1.6996,0.8450,0.7665,0.99,1.1813,0.7942,0.8554,-0.8545,2.2276,0.9715,0.1395,0.9224
4crc,1.6334,1.1143,2.2665,1.1449,0.9298,0.7491,1.8237,-0.9182,1.8956,1.7492,-0.1584,0.8159
4ddh,-1.1722,0.9961,-3.1535,-0.6045,-0.8977,0.0894,-0.6862,-0.1938,-0.3263,-0.7178,-0.5329,-0.6367
4ddk,-3.1620,1.0463,-4.1635,-0.8898,-1.2119,-0.2049,-0.4223,-0.3002,-0.5213,-1.0933,-0.99,-0.742
4de3,-0.8276,1.5019,-0.9335,-0.3841,-0.5078,0.7511,0.3332,-0.6236,0.5628,-0.1011,0.5243,0.1705
4dld,-0.2633,1.2035,-0.6335,-0.0925,-0.6859,-0.8042,0.0925,0.8676,-0.0632,0.6229,1.3303,-0.3929
4dli,0.1671,0.6829,-0.8335,-0.2227,-0.2785,0.9272,0.1344,-0.6627,0.2491,-0.2888,-1.0513,-1.6787
4e5w,0.6622,1.2554,1.2065,0.5348,0.4788,0.3352,0.2051,-0.8227,-0.49,0.2743,-0.775,0.9685
4e6q,-0.1148,1.3800,1.9065,0.1233,0.2539,0.5819,-0.9501,-0.8131,0.6282,-0.9324,-0.9978,-1.328
4ea2,0.4854,1.6822,-0.0135,0.1174,0.18,0.6738,2.4113,-0.4134,-0.5351,-1.2005,-1.1366,-1.3181
4eky,-0.6691,1.2315,-2.9335,0.4277,-0.2429,-0.8575,-0.9357,-0.0014,-0.2437,1.0788,1.684,0.2375
4eo8,0.6144,1.4725,1.6965,-0.3797,0.0471,0.3957,1.3184,0.1897,-0.7681,-0.986,-0.5389,0.9473
4eor,2.2556,0.5768,-0.1535,0.225,0.2439,0.6961,0.6557,-0.79,-0.3093,-0.2083,-0.458,-0.0599
4f09,0.8366,0.6947,0.2465,-0.4519,-0.2931,0.2081,-0.6509,-0.5319,-0.505,-0.9056,-1.0368,-1.4281
4f2w,2.6227,0.2303,4.8465,-0.093,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.0475,-0.2768,-1.5048
4f3c,3.2573,0.3114,5.3665,0.1633,-0.0801,0.0016,-0.6865,-0.4925,-0.698,0.462,-0.1871,-1.4459
4f9w,0.6048,0.6397,0.4865,-0.0201,0.0728,1.2265,0.5551,-0.5849,1.0127,-0.2888,-1.276,-1.5208
4gfm,-0.1135,0.6329,0.7665,-0.4049,-0.8475,0.6669,-0.4219,-0.3447,0.1599,-0.262,-1.0803,0.0286
4gkm,-0.2312,0.8467,-1.2835,-0.4917,-0.5996,0.0067,-0.1231,-0.0804,0.5819,-0.6374,0.0521,-0.3561
4gr0,3.0987,1.2752,3.0965,1.8231,1.3896,1.4383,1.4539,-0.6574,1.6703,1.776,-0.0606,0.984
4hge,0.5194,0.9475,1.4665,0.2225,-0.0871,0.8273,0.1408,-0.7734,0.9591,-0.4497,-1.0387,0.3647
4ih5,-1.4983,0.7466,-2.3435,-0.601,-0.692,0.4154,-0.6862,-0.6498,0.0725,-0.9592,-0.9647,-1.8274
4ih7,-1.0017,1.0928,-1.2135,-0.7217,-0.6443,0.8599,-0.2272,0.0575,0.2198,-0.8787,-1.0097,0.0293
4ivb,0.9639,0.7357,2.2665,0.0754,-0.067,0.8556,0.4625,-0.4918,-0.505,-0.3424,-0.7294,-1.189
4ivc,1.0244,0.9139,3.5465,0.1659,0.0353,0.9758,0.7199,-0.4971,-0.505,-0.2083,-0.791,-1.2703
4ivd,0.9932,1.2881,3.0665,0.2716,0.1383,1.096,0.9983,-0.5106,-0.505,-0.1815,-0.755,-1.2778
4j21,0.2483,1.1484,0.9565,-0.0507,-0.3575,1.0153,0.3629,-0.3491,0.7148,0.033,-0.5106,-0.0578
4j28,-0.6872,1.2755,-0.7535,-0.9925,-0.5767,-0.3551,-0.387,-0.4029,-0.3243,-0.5838,0.0375,-1.5473
4j3l,1.6199,0.8590,1.3465,0.3305,0.0673,0.9518,0.3629,-0.528,0.8887,0.3816,-0.3983,0.2474
4jfs,-0.8546,1.5721,-1.1835,-0.8535,-0.6725,-0.3293,0.1408,0.0875,-0.3325,-0.8519,0.0617,-1.4648
4jia,0.6129,1.6176,2.7665,0.2106,0.6431,0.4494,1.6477,-0.9226,0.8157,-0.1815,-0.9932,-1.5346
4jsz,-0.8494,0.5335,-4.1535,-1.5088,-1.1979,-0.0338,-0.6862,0.3968,-0.3175,-1.4955,-1.1017,-0.4353
4jxs,-1.1725,1.3371,-1.7135,-0.4528,-0.5306,-0.4591,-0.2302,-0.2525,0.3502,-0.3156,0.9444,0.1017
4k18,1.0762,1.0979,2.5065,0.408,0.1501,0.8765,0.6124,-0.7681,1.5124,-0.2888,-1.276,0.6215
4k77,-0.8771,0.7333,0.1765,-0.4033,-0.502,0.4988,-0.3934,-0.4567,-0.3594,-0.7447,-0.775,-0.0576
4kz6,0.0594,1.4129,-3.3535,-1.0248,-0.9531,-0.1904,0.1694,0.7042,-1.2618,-1.3882,-0.1219,0.1854
4kzq,-0.6447,0.7924,-0.3535,-0.199,-0.5397,0.8386,0.3694,-0.4268,0.7575,-0.1547,-0.8184,0.0349
4kzu,-0.4851,1.2172,0.0465,-0.1824,-0.5547,1.1642,-0.1584,-0.4104,0.8973,-0.1011,-0.7919,0.0305
4llx,-2.5166,0.4392,-3.5635,-1.5313,-1.3276,0.0714,-0.3516,0.2599,-0.717,-1.4419,-1.084,-2.0758
4lzs,-0.4089,1.4284,-1.6535,-0.9358,-0.8497,0.3093,-0.0942,0.747,-0.5581,-0.9592,-0.6868,0.0411
4m0y,-0.6508,0.8264,0.0065,-0.5299,-0.3265,0.3609,-0.7149,-0.4186,0.4312,-0.6642,-0.2585,-0.0613
4m0z,-0.8524,0.7778,-1.2635,0.2296,-0.2028,0.3635,-0.1871,-0.4036,0.2423,0.328,0.3527,-0.0182
4mgd,0.4853,1.4877,-1.7635,-0.3955,-0.8372,1.2805,0.3276,-0.0236,0.5969,-1.6028,-0.5453,-1.5107
4mme,-0.9714,1.2049,0.0465,-0.0998,-0.4277,0.4515,-0.4223,-0.5553,0.9278,-0.5838,-0.6643,-1.6727
4ogj,0.5736,0.9489,0.3365,-0.0594,1.0835,0.9128,1.8303,-0.7847,0.616,-0.557,-0.9491,0.6619
4owm,-2.0560,0.8959,-3.4935,-1.4823,-1.2755,-0.2072,-0.9501,0.3707,-0.3395,-1.6564,-1.0874,0.3422
4pcs,-0.4730,1.2674,1.3965,-1.064,-0.7429,-0.4159,-0.1284,-0.1429,-0.1436,-0.9324,0.2904,-1.6839
4qac,0.9569,0.9008,2.9465,0.0897,-0.3098,1.0898,0.1279,-0.4266,-0.1436,-0.0743,-0.7219,0.3961
4qd6,0.0344,1.6262,2.1865,-0.4158,0.9007,1.3309,0.934,-0.824,1.1934,-0.262,-0.6245,0.8118
4rfm,0.9978,1.5378,3.5965,0.6255,0.9512,1.0295,-0.136,-0.9918,0.7721,-0.0206,-0.6758,1.3215
4twp,1.7591,0.6149,3.5465,0.309,0.2913,1.2926,1.162,-0.7965,1.3496,-0.3961,-0.6474,0.208
4ty7,1.4495,1.2286,3.0665,0.7472,0.9485,0.9838,0.9485,-0.821,0.7661,1.052,0.3792,0.986
4u4s,-2.2749,0.7119,-3.5335,-0.9028,-0.8976,-0.0883,-0.6509,-0.0922,-0.6871,-0.7447,-1.0096,-0.0801
4w9c,-0.2345,0.7991,-1.8035,-0.4069,0.1165,0.5891,-0.7345,-0.4918,0.0596,-0.691,-0.1347,0.7015
4w9h,-0.2252,0.8616,0.2765,0.1558,0.4864,0.5557,-0.1923,-0.3836,0.017,0.328,-0.1134,1.0404
4w9i,-0.4166,1.4633,-0.4935,0.0404,0.4556,0.0722,-0.4288,-0.7428,0.017,-0.3424,-0.0932,0.8974
4w9l,0.0304,0.8021,-1.4335,0.3962,1.148,0.7192,0.0442,-0.2058,0.017,0.0062,0.2079,1.4026
4wiv,-0.9413,1.0377,-0.1935,-0.4503,0.2318,1.1874,0.5252,-0.5666,0.4305,-0.7447,-1.276,-1.4778
4x6p,2.0437,0.7814,1.8465,1.218,1.2571,1.1812,1.3465,-0.9946,2.0817,2.1514,-0.047,0.7455
5a7b,-0.2357,1.5971,-2.8835,-0.0524,0.6005,0.2564,0.4401,-0.3652,0.5819,-0.0475,-1.276,-1.3541
5aba,-0.5596,1.4815,-3.4735,-0.7548,-0.2133,-0.015,0.0095,-0.3451,-0.4134,-0.7983,-1.276,-1.4117
5c28,-2.4170,0.5881,-0.7935,-1.2313,-1.1246,0.4481,-0.3581,-0.3304,-0.7448,-1.281,-1.276,-1.8997
5c2h,1.1844,1.4227,4.6365,0.5891,0.4687,1.6144,0.7682,-0.8614,0.8713,0.4084,-1.276,-1.6084
5dwr,2.1295,1.2780,4.7665,0.7335,0.4126,1.1965,1.1417,-0.6568,1.1546,0.0062,-0.6908,1.1626
