%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
%Optimization success: True in 22 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5741558752847657
%.kernel.kernels[0].lengthscales: 1.339882942824264
%.kernel.kernels[1].variance: 0.03068973887062306
%.likelihood.variance: 0.9492974458627557
%loglikelihood: -6594.480444843923
%RMSE:1.522
%Pearson_correlation_coefficient:0.750,P-value:0.000
%Spearman_correlation_coefficient:0.752,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,BalabanJ,BertzCT,HallKierAlpha,MaxAbsEStateIndex,MaxAbsPartialCharge,MolLogP,NOCount,PEOE_VSA1,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA7,as_flex_all,cc_A.HD_4,cc_N.N_4,lig_OA,vina_gauss2,vina_hydrogen,vina_repulsion
1lor,-1.7863,0.4120,4.6065,-0.0741,-0.4763,0.2667,-0.0023,1.2311,-0.8,0.9062,-0.0616,0.7913,-0.9016,-1.214,-1.2831,-0.4216,0.6497,-0.6375,-0.0038,1.4339,0.257,1.9093,1.2542
1n1m,-1.0345,1.1089,-0.7535,0.6043,-1.0315,1.3293,0.2758,-1.2182,-0.1751,-1.0644,-0.6417,-0.8144,-0.35,-0.6573,0.6186,-1.2618,-0.7715,0.3019,-0.7232,-0.9677,-1.0625,0.1659,-0.2949
1o5b,-0.3517,0.3355,-0.6835,-0.168,-0.9682,1.2916,-1.8267,-1.7137,0.1622,-1.2833,-1.2932,-0.8144,-0.6584,0.5643,-0.6248,-0.2423,-0.7447,-0.6375,-0.0038,-1.2346,-1.0228,-1.276,-0.5601
1oyt,1.2462,0.5852,0.7865,-0.7528,0.409,-0.5471,0.9162,-1.2039,-0.3852,-0.4075,-0.9929,-0.3067,0.0712,0.0846,-0.004,0.9526,0.5693,-0.6375,-0.7232,-0.7009,0.6006,-1.0965,-0.4806
1ps3,-0.3321,0.7794,-4.1735,-0.054,-1.0186,0.8395,-0.0586,-0.7059,-1.4529,0.0304,0.588,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,0.4084,0.7716,-0.7232,0.3665,-0.5265,1.6773,0.7897
1q8u,0.5366,0.5269,-0.4935,-0.2283,-0.0562,0.6285,0.841,-1.2319,0.1373,-0.6265,-0.9677,0.159,-0.4152,-0.1086,1.1126,-0.1354,-0.8787,-0.6375,-0.0038,-0.7009,-0.0782,-1.276,-0.7845
1qi0,-2.0659,0.9788,-4.1035,0.0167,-0.6237,1.4273,-1.529,-0.712,-1.7996,0.6872,2.088,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,-0.4229,1.9458,-0.7232,1.7007,-0.9622,0.4714,0.6427
1r5y,-1.0231,0.8284,0.0065,-0.0749,-0.9467,0.2215,-0.1965,-0.656,-0.1098,-0.6265,-0.591,-0.2381,-0.9016,-0.4223,-1.0089,-0.3716,-0.0475,-0.6375,-0.0038,-0.9677,-1.0255,1.0991,-0.0641
1sln,0.9351,1.0810,0.1865,0.2526,0.7301,-1.1952,1.0599,0.926,-0.9819,0.4683,0.292,-0.8144,1.044,0.691,0.0252,0.8007,0.5157,-0.6375,-0.7232,-0.1672,0.4659,0.3784,0.4925
1uto,-2.1468,0.1759,-4.1835,0.3714,-1.1944,1.1409,-1.989,-1.1073,0.0084,-1.5023,-0.9425,-0.8144,0.3144,-0.971,-0.8437,-0.1436,-1.1737,-0.6375,-0.7232,-1.2346,-1.436,-0.8766,-1.0442
1w3k,-0.4824,0.5435,-2.1535,-0.0156,-0.6567,1.4574,-1.5753,-0.712,-1.8615,0.4683,1.17,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,0.4889,2.1807,-0.7232,1.167,-0.237,2.0287,0.6737
1w3l,-0.8372,1.6940,-0.1735,-0.3483,0.0411,1.3067,-1.3745,-0.712,-2.5318,1.563,2.6924,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,2.6341,2.6504,-0.7232,2.5012,0.6733,2.4626,8.7667
1w4o,-1.8871,0.2894,-1.2335,-0.0386,-0.4945,0.4175,-0.0445,1.2352,-0.7093,0.6872,-0.3752,0.2631,-0.9016,-1.214,-0.6942,-0.2287,-0.557,0.0671,-0.0038,1.167,-0.7145,0.6618,0.2175
1xd0,-1.0149,1.4320,0.6665,-0.7398,1.7599,1.0354,-1.0758,-0.6857,-3.7373,3.5335,6.0856,-0.8144,-0.9016,-0.9148,0.0209,-1.2618,1.2397,1.711,-0.7232,4.9028,2.043,2.1895,1.2534
1yc1,-0.0907,0.6018,-0.2835,-0.6269,-0.0686,-1.0144,-0.1503,0.9174,0.4208,0.0304,0.5234,-0.8144,-0.3826,0.342,-0.125,0.0344,0.4352,-0.6375,-0.0038,0.3665,0.519,-0.6879,-0.1497
1z95,1.1380,0.9357,0.6665,-0.0739,-0.0727,-0.4793,0.6203,-0.4539,0.7505,-0.4075,-0.6537,0.6667,-0.9016,0.9326,-0.6785,0.5899,-0.262,-0.6375,0.7156,-0.1672,0.7615,-0.6256,-0.5223
1zea,-1.0171,1.6612,-1.2335,-0.176,3.1498,-4.0589,1.45,0.9932,-3.1182,4.4093,4.453,-0.2381,0.1364,0.3918,2.6482,0.2355,1.5347,2.8852,1.4351,3.0349,1.0454,0.0405,0.9179
2cbj,0.4228,0.4301,1.8165,-0.2048,-0.3886,-0.2683,0.0553,0.1036,-0.3936,0.4683,0.2644,-0.26,-0.172,-0.461,-0.4804,-0.3175,-0.2352,0.7716,-0.7232,0.6333,-0.2476,0.6598,0.0744
2fvd,0.8374,1.0748,2.0665,-0.5329,0.1453,-0.3964,1.072,0.4026,0.2985,0.2493,-0.3254,2.2486,-0.9016,-0.1295,0.6578,0.0203,0.5693,0.7716,0.7156,-0.1672,0.5896,-0.5026,-0.4076
2g70,-0.6453,0.5819,1.3165,0.0031,-0.8608,0.6586,-0.5594,-0.7489,-0.2676,-0.6265,-0.6541,-0.8144,-0.6584,-0.971,0.0071,-0.0313,-0.3156,0.0671,-0.7232,-0.9677,-0.7128,-0.7178,-0.7033
2hb1,-2.8311,0.3790,-2.6535,0.0178,-1.2539,0.945,-0.7664,0.9536,-0.444,-0.6265,0.2132,-0.8144,-0.9016,-0.5183,-1.0249,-0.8022,-0.5033,-0.6375,-0.7232,0.0996,-1.0227,-0.3225,-0.2164
2iwx,0.4925,0.3572,0.2265,0.1014,-0.2722,0.2441,0.42,0.5228,1.0741,-0.6265,-0.3752,-0.26,0.309,-0.1007,0.8159,-0.1898,-0.557,-0.6375,-0.7232,0.0996,0.0422,-0.8227,-0.5358
2j62,1.2811,0.6181,4.8865,-0.3152,0.0844,0.0859,0.5138,-0.7061,0.0945,-0.1886,0.2539,-0.2381,0.866,-0.4144,0.0255,0.4094,0.1671,-0.6375,-0.0038,-0.1672,0.6544,0.7486,0.088
2jdm,0.0732,0.2439,-1.0535,0.4658,-1.1983,1.6081,-1.8861,-0.777,-0.6111,-0.6265,0.2292,-0.8144,-0.9016,-0.9148,-0.7456,-1.2618,-0.5838,-0.6375,-0.7232,0.0996,-1.2678,1.5711,-0.2387
2jdu,0.1522,0.3260,0.2665,0.4658,-1.1983,1.6081,-1.8861,-0.777,-0.6111,-0.6265,0.2292,-0.8144,-0.9016,-0.9148,-0.7456,-1.2618,-0.5033,-0.6375,-0.7232,0.0996,-1.2774,1.9375,-0.0267
2jdy,-0.2606,0.4151,-2.0835,0.4884,-1.1823,1.578,-1.8688,-0.712,-0.9277,-0.4075,0.5428,-0.8144,-0.9016,-1.214,-0.9438,-1.2618,-0.2888,-0.6375,-0.7232,0.3665,-1.248,1.8445,0.2273
2obf,1.1625,0.7502,2.3965,-0.4448,-0.1669,0.5531,0.4153,-0.7489,0.2087,-0.6265,-0.6541,0.159,-0.1915,0.6124,-0.0592,0.565,0.4352,0.0671,-0.7232,-0.434,0.2297,-0.5045,0.5278
2ole,1.0225,1.4257,0.7965,-0.3532,0.2131,-0.404,1.156,-1.1386,0.7003,-0.6265,-0.9425,1.2879,-0.172,0.6557,0.8708,0.9535,-0.4229,1.9458,-0.7232,-0.7009,0.0406,-0.6294,0.2896
2p4y,0.8017,1.1601,2.5465,-0.731,0.9707,-1.5419,0.4979,1.2386,1.6761,0.0304,0.7449,-0.8144,-0.2271,1.4748,1.0536,0.9468,-0.2352,-0.6375,-0.7232,0.0996,1.468,-0.8862,-0.7188
2pcp,-0.1822,0.6470,2.2465,-0.1163,-0.4121,1.1409,-1.316,-1.2044,0.7613,-1.5023,-0.9929,-0.8144,0.5709,0.1777,0.6568,-0.1436,-0.5033,-0.6375,-0.7232,-1.2346,-0.3479,-1.0803,-0.5694
2qbp,1.4986,0.5903,1.9465,-0.7446,0.716,-0.4492,0.6764,0.9536,0.5029,0.2493,0.5391,0.6569,0.8008,1.0522,0.5684,0.9041,0.4084,-0.6375,-0.0038,0.6333,0.6878,-0.2402,-0.1612
2qbr,-0.8511,0.5886,-0.1235,-0.5474,-0.0871,-0.3813,-0.3177,0.9536,0.5663,-0.4075,0.5391,-0.8144,0.8008,0.4955,-0.6957,0.9041,-0.1279,-0.6375,-0.7232,0.0996,-0.0661,-0.3638,-0.0911
2qmj,-1.4736,0.6982,-2.2435,-0.557,0.9594,0.9902,-1.2032,-0.712,-3.0916,2.4388,4.5632,-0.8144,-0.9016,-0.407,-1.0848,-0.8985,0.5157,1.4761,-0.0038,3.5686,0.8412,1.4632,0.5738
2r23,-0.9915,0.8889,-2.7335,0.3298,0.0842,0.4024,0.4046,0.9309,-2.6618,1.782,3.5944,-0.8144,-0.658,-1.214,-0.8437,-0.8685,-0.0206,0.0671,-0.7232,3.0349,-0.0807,1.1332,1.0626
2v00,-2.3200,0.6672,-2.7935,-0.1992,-0.7117,0.1763,-0.2094,-0.9764,0.2137,-0.8454,-0.9421,-0.2381,0.3144,-0.4144,-0.7275,0.5469,-0.2888,-0.6375,-0.7232,-0.9677,-0.7572,0.0622,-0.6156
2v7a,1.1366,0.5297,1.8465,-0.9859,0.7936,-1.0219,0.7685,-1.0032,0.2412,0.2493,0.2255,-0.8144,0.3144,0.0846,-0.1332,1.1376,-0.1279,-0.4026,-0.0038,-0.434,0.6496,-0.6052,-0.5502
2vl4,-0.4747,0.4122,-0.4435,0.6124,-1.2037,1.6081,-1.8398,-0.6883,-1.3038,-0.6265,0.2868,-0.8144,-0.9016,-1.214,-1.217,-1.2618,-0.5033,2.4155,-0.0038,-0.1672,-1.0627,1.5241,-0.0012
2vo5,0.0337,1.1335,-1.5635,-0.2549,-0.4411,1.0203,-1.3956,-0.6859,-0.7779,-0.6265,0.2616,-0.8144,0.3144,-1.214,0.0909,-0.1436,-0.0475,2.1807,-0.7232,-0.1672,-0.2316,1.2263,-0.1614
2vot,1.4773,1.1320,0.6865,-0.4544,-0.3771,0.3044,-1.5409,-0.7061,-0.1991,-0.1886,0.5675,-0.2381,-0.172,-0.6862,-0.7113,0.2355,0.8106,2.4155,-0.0038,-0.1672,0.0716,1.3416,0.9067
2vvn,0.9597,0.4095,0.8465,-0.2653,-0.9329,1.5026,-1.6796,-0.712,-0.5969,-0.4075,0.2644,-0.8144,-0.4282,-0.9148,-0.6395,-1.2618,-0.3424,0.3019,-0.0038,-0.1672,-0.4191,0.1084,-0.0247
2vw5,0.5871,1.1531,2.0665,0.7445,0.8692,-0.3813,0.7752,0.5334,1.3107,0.0304,0.5926,-0.26,0.4129,2.0269,1.8925,0.2054,0.0866,-0.6375,-0.0038,0.3665,0.437,-0.2481,-0.2606
2w66,-0.1794,0.4950,-2.4035,0.936,-0.8901,1.2087,-0.0576,-0.75,-1.5196,-0.1886,0.6127,-0.8144,-0.9016,-1.214,-0.7545,-1.2618,-0.1279,1.2413,-0.0038,0.0996,-0.5043,0.8212,0.3321
2wbg,-0.3238,0.6127,-2.0035,-0.1338,-0.3692,1.0882,-1.557,0.0422,-0.1927,-0.1886,0.252,-0.2371,0.6567,-0.9357,0.0213,-1.2618,1.0788,1.4761,-0.7232,0.0996,-0.0413,0.9824,0.592
2wca,-0.1283,0.5512,-0.8535,-0.1413,-0.1893,-0.2683,0.3225,0.1036,-0.1532,0.4683,0.2644,-0.26,0.1038,-0.1827,-0.2391,-0.3175,-0.691,0.3019,-0.7232,0.6333,-0.3913,0.2389,-0.1428
2weg,0.5246,0.4679,0.0465,0.3968,-1.1937,1.0505,0.3941,-2.3802,0.009,-1.0644,-1.2932,1.2594,-0.4152,-0.6862,-1.2831,-0.3245,-1.1469,0.7716,1.4351,-0.7009,-1.2527,-0.5937,-0.8297
2wtv,0.9230,0.7952,2.2865,-0.8372,0.4153,-1.3836,1.2519,0.9359,1.26,-0.4075,-0.3595,1.3537,0.5381,0.6124,0.3354,2.036,0.1403,0.0671,0.7156,-0.7009,0.6744,-0.9929,-0.2733
2x00,1.2178,1.3336,4.8765,-0.4297,1.231,0.4627,0.496,-0.0144,1.868,-0.6265,-0.398,-0.8144,0.3615,3.1764,2.6688,-0.1867,-0.3961,0.0671,-0.7232,-0.1672,0.7981,-1.276,-0.7199
2x0y,-1.4447,0.6352,-1.8535,0.0167,-0.5691,0.3044,0.1452,-0.7115,-0.8186,0.0304,-0.3856,0.3163,-0.9016,-1.214,-0.214,-0.4135,-0.4765,-0.4026,-0.7232,-0.1672,-0.3793,-0.3136,-0.5106
2x8z,0.1101,0.2695,1.5065,0.5157,-1.0426,1.2238,0.1508,0.9694,-0.3545,-0.8454,-0.3846,-0.8144,-0.6258,-0.6573,0.3822,-1.2618,-0.5838,-0.1678,-0.7232,-0.434,-0.9569,0.0115,0.0257
2xb8,-0.7988,0.5078,1.1365,-0.0003,-0.5519,0.2818,0.4159,0.9595,-0.7438,-0.1886,0.5462,-0.8144,-0.4152,-0.1649,-0.6455,-0.3325,0.462,-0.6375,-0.7232,0.6333,0.2719,1.2461,0.5204
2xbv,1.7179,1.2156,1.9765,-0.6984,0.6493,-1.0294,1.504,-1.2104,0.4789,0.0304,-0.341,1.285,-0.1915,0.1055,0.0268,1.2974,1.8028,-0.6375,2.1545,-0.434,0.9874,-0.8871,0.1557
2xdl,-1.0480,0.5157,-3.3535,0.5762,-0.8434,0.4702,0.2723,0.494,0.4434,-0.8454,-0.388,-0.8144,-0.9016,0.1762,0.2723,-0.5213,-0.691,-0.6375,-0.7232,-0.434,-0.5032,-0.9416,-0.8256
2xhm,2.0161,0.9294,0.3465,0.2692,0.8421,-1.1425,0.9596,0.5344,0.6073,0.6872,0.3119,0.7693,0.8793,0.585,0.7189,0.5969,1.3469,-0.4026,-0.7232,0.9002,1.2173,0.936,1.2457
2xnb,1.4018,0.5139,0.3765,-0.7878,0.1711,-0.2834,0.0536,-1.0752,0.2759,-0.1886,-0.0606,0.3383,-0.4453,0.4048,0.5701,0.3556,-0.3424,0.0671,-0.0038,-0.9677,0.4139,-1.0272,-0.4436
2xys,0.8825,0.9166,0.9665,-0.7977,0.1873,0.734,-0.9253,-0.9298,0.0072,-0.8454,-0.0877,-0.8144,0.0716,-0.2063,0.7255,0.0309,-0.4497,-0.6375,-0.7232,-0.7009,0.2139,-0.9864,-0.6158
2y5h,0.9376,0.4345,-0.6635,-0.8251,0.4661,0.4476,0.9704,-0.1701,0.4351,-0.1886,-0.4465,-0.2381,-0.4347,-0.6862,0.4804,-0.3756,0.5693,-0.6375,-0.7232,-0.7009,0.3274,-1.1716,-0.4565
2yfe,-0.7292,0.4381,0.1765,0.134,-0.1023,-0.3135,0.0023,0.9342,0.8055,-0.8454,-0.081,-0.8144,0.7823,0.9694,0.0463,0.9303,-1.281,-0.6375,-0.7232,-0.1672,-0.2332,-0.9834,-1.1313
2yge,0.1113,0.7911,-1.3935,0.7164,0.9818,-0.9089,0.9284,0.363,0.6053,0.6872,0.8606,-0.26,0.6243,0.442,1.6981,0.5647,0.1403,-0.6375,0.7156,1.167,0.729,-0.3744,-0.1334
2yki,2.1038,0.7577,3.0065,-1.0257,0.9696,-1.8433,0.7697,-1.2288,1.4041,-0.1886,-0.3562,0.3383,0.8008,0.5496,0.1375,1.9203,0.8106,-0.4026,-0.0038,-0.9677,1.3028,-0.1239,-0.021
2ymd,-0.3606,1.6609,-3.2935,-0.0856,-0.8496,0.6435,-1.8602,0.5342,0.066,-1.0644,-0.3234,-0.8144,-0.9016,-0.1793,-0.0205,-0.3284,-0.6642,6.4079,-0.0038,-0.9677,-0.8843,0.1362,-0.3996
2zjw,-0.8529,0.8111,1.2465,-0.4595,-0.456,-0.8184,-0.0015,0.4928,0.2677,0.0304,0.5035,0.2944,-0.9016,-0.6862,-0.7638,-0.2327,-0.6642,-0.6375,-0.7232,0.3665,-0.1003,-1.1221,-0.063
2zwz,0.0106,0.8963,1.3365,0.8306,-1.0531,1.6081,-1.7309,-0.7815,-1.4785,-0.6265,0.3238,-0.8144,-0.9016,-0.9148,-1.0848,-1.2618,-0.3961,2.6504,0.7156,-0.434,-1.0414,1.3583,0.1584
2zx6,2.6640,0.7370,4.1465,-0.4836,-0.054,0.3044,0.4803,-0.7815,-0.6779,-0.1886,0.6046,-0.8144,-0.172,-0.4079,-0.1295,-0.1395,0.328,2.8852,2.1545,-0.1672,-0.0726,1.3209,0.6378
2zxd,-0.8595,0.6225,-1.2335,0.8196,-1.0717,1.6383,-1.6895,-0.7813,-0.8544,-0.8454,-0.0269,-0.8144,-0.35,-1.214,-0.5364,-1.2618,-0.7447,1.4761,-0.0038,-0.434,-1.0595,0.4411,-0.0441
3acw,-0.4421,0.8950,-1.6935,-0.5937,-0.2264,0.523,-1.4252,-0.8716,0.4332,-1.2833,-0.6792,-0.8144,1.2872,-0.4851,-0.0541,0.6119,-1.281,-0.6375,-0.0038,-0.9677,-0.0735,-0.9834,-0.9441
3ag9,0.0420,1.6533,1.5965,-0.3569,3.4568,-3.1018,1.1663,-0.7842,-2.7186,4.1904,2.3075,0.9146,-0.3886,1.8477,2.2044,-0.8678,0.6497,1.9458,1.4351,1.167,1.2528,0.7118,0.2947
3ao4,-1.4168,0.5427,-4.3835,-0.5708,-0.7955,0.1236,-1.8052,-0.058,0.294,-0.6265,-0.3605,-0.8144,-0.9016,-0.4223,-0.1891,-0.5064,-0.3692,-0.6375,-0.7232,-0.7009,-0.676,-0.6295,-0.3758
3b3s,-1.5030,0.2882,-3.9035,2.372,-1.3079,1.3293,-0.6101,0.9259,-0.6319,-1.0644,-0.3347,-0.8144,-0.35,-0.9566,-0.3811,-1.2618,-1.281,-0.6375,-0.7232,-0.7009,-1.415,0.2137,-0.1891
3b3w,-0.9051,0.2291,-2.2635,2.372,-1.3079,1.3293,-0.6101,0.9259,-0.6319,-1.0644,-0.3347,-0.8144,-0.35,-0.9566,-0.3811,-1.2618,-0.9592,-0.1678,-0.0038,-0.7009,-1.3489,0.1843,-0.0587
3b68,1.8393,0.8192,1.9465,-0.1798,-0.0298,-1.0068,0.521,0.339,0.8925,0.2493,-0.0369,-0.8144,-0.9016,0.6687,0.2833,0.5503,0.5961,0.0671,0.7156,-0.1672,1.1245,-0.6175,-0.0865
3bfu,0.4067,0.2924,-0.1835,0.2579,-1.1736,0.847,-0.4621,0.9258,-1.1429,-0.4075,-0.3347,-0.8144,-0.9016,-1.214,-0.5855,-0.7602,-0.0206,0.7716,0.7156,-0.434,-0.9449,1.3003,0.2426
3bkk,0.3916,1.1329,-0.3735,-0.3942,0.7046,-1.263,0.6859,0.9694,0.161,0.0304,0.5937,-0.8144,2.26,0.3564,0.1282,2.0929,1.7224,0.5367,-0.0038,0.3665,1.4041,1.0032,0.9618
3bpc,-0.9772,1.1142,-1.6535,0.0324,-0.0064,0.1763,0.1021,0.9276,-1.6724,1.1251,2.6536,-0.8144,-0.4144,-0.3721,-0.5133,-0.4993,0.3548,-0.4026,-0.7232,2.2344,-0.3912,1.1546,0.8764
3cft,-1.8808,1.2984,-2.2635,0.1154,-0.7888,0.5606,-0.4479,3.1064,0.2718,-0.8454,-0.6626,0.159,0.0712,-0.6862,-0.4896,-0.1286,-1.5491,-0.6375,-0.7232,-0.434,-0.923,-1.276,-0.9521
3cj2,-1.4460,0.6430,-1.6035,-0.0033,-0.6427,0.9827,0.5051,-0.6629,0.8336,-1.0644,-0.6413,-0.8144,0.2911,0.3709,0.7582,-0.3815,-1.4687,-0.6375,-0.7232,-0.9677,-1.0085,-0.8153,-0.9472
3coy,0.0082,0.6922,-0.4335,-0.5571,0.274,-0.0724,0.4739,-0.779,-1.0419,1.3441,0.3266,1.4599,-0.0742,-1.214,-0.4273,-0.8678,0.9447,0.3019,2.1545,0.6333,0.9989,0.8561,-0.0827
3cyx,1.7977,0.5017,1.5465,-0.6237,2.1809,-1.5193,1.3979,-0.8046,0.3794,0.6872,0.6497,-0.2381,1.8002,1.547,1.4869,1.1676,1.2129,-0.6375,0.7156,0.0996,2.0913,0.2308,-0.1268
3d4z,-0.6457,0.3232,-1.5635,-0.0451,-1.0165,1.0429,-1.704,-0.7061,-0.6958,-0.4075,0.2416,-0.2381,-0.9016,-1.214,-0.6879,-0.6939,0.1134,1.9458,-0.7232,-0.1672,-0.7276,1.4337,0.6571
3dd0,2.1358,0.3169,2.5465,-0.306,-0.7636,0.8696,-0.2921,0.3805,0.2769,-0.6265,-1.0024,1.328,-0.9016,-0.1231,-1.0848,-0.6952,-0.7715,1.0064,1.4351,-0.434,-0.8838,-0.7475,-0.6482
3dxg,-2.0974,0.2662,-4.0535,-0.0977,-0.4945,0.4175,-0.0502,1.2311,-0.7093,0.6872,-0.3752,0.2631,-0.9016,-1.214,-0.6942,-0.2287,-0.4497,0.0671,-0.0038,1.167,-0.701,-0.6549,-0.27
3e93,1.5093,0.8353,2.3965,-1.0115,1.1678,-1.0144,0.7873,-0.8841,1.1982,-0.1886,0.2275,-0.8144,0.0356,1.6615,1.8467,1.1526,0.6497,-0.6375,-0.7232,-0.7009,1.4084,-0.4935,-0.488
3ebp,0.0587,0.7635,-0.5435,-0.4968,0.2233,-0.1553,0.5248,0.528,0.4448,-0.4075,0.2191,-0.8144,0.0517,-0.6862,0.6255,0.5218,0.1134,0.3019,-0.7232,-0.1672,-0.2851,-1.276,-0.7943
3ehy,-0.4834,0.6624,-0.6035,0.4267,-0.8202,0.5531,0.0279,0.9752,-0.4103,-0.4075,-0.3946,0.7043,-0.9016,0.1408,-1.0848,-0.5064,-0.4229,-0.6375,-0.7232,0.0996,-0.5712,-0.3038,-0.1648
3ejr,1.7798,0.8635,2.1165,-0.3231,-0.0118,0.8018,0.76,-0.7856,-0.1154,-0.6265,-0.052,-0.8144,0.8986,-0.4562,0.2835,-0.1586,1.2933,1.4761,-0.7232,-0.1672,0.294,1.9129,0.9518
3f17,0.4551,0.8572,2.1765,-0.1625,-0.4712,-0.0347,0.0799,-1.7252,0.4563,-0.4075,-1.2932,0.7043,0.8008,-0.2002,-1.0335,0.5914,-0.2083,-0.6375,-0.7232,-0.434,-0.1167,-0.724,-0.0036
3f3a,-0.6299,0.5512,-2.2635,-0.0556,-0.7671,0.3949,-0.4508,0.9258,-0.423,-0.8454,-0.0292,-0.8144,-0.172,-0.7071,-0.0205,-0.1395,0.1939,0.7716,-0.0038,-0.7009,-0.6129,0.2297,0.3237
3f3c,-0.6503,0.7008,-0.4335,0.4744,-1.0911,0.6888,0.3965,0.9258,-0.5284,-1.0644,-0.3347,-0.3067,-0.4152,-0.4432,-0.8437,-0.1506,-0.1815,-0.6375,-0.0038,-0.7009,-0.684,0.46,-0.2068
3f3e,-0.6635,0.3611,1.2465,2.372,-1.3079,1.3293,-0.6101,0.9259,-0.6319,-1.0644,-0.3347,-0.8144,-0.35,-0.9566,-0.3811,-1.2618,-0.8519,-0.6375,-0.0038,-0.7009,-1.2816,0.5122,-0.5087
3f80,-1.2385,0.9389,-2.2335,2.2846,-1.1949,0.8771,-0.614,0.9259,-0.8165,-0.4075,-0.3347,-0.8144,-0.9016,-0.9357,-0.0348,-0.9457,0.033,-0.4026,-0.7232,-0.7009,-0.8314,-0.5634,0.3298
3fcq,-2.2770,0.2434,-3.6835,0.4149,-1.0623,0.3722,-0.4469,0.9343,-0.0493,-0.8454,-0.3946,-0.8144,-0.4152,-0.4079,-0.2881,-0.3474,-0.5033,-0.6375,-0.7232,-0.1672,-0.979,0.062,-0.2856
3fv1,1.5702,0.4247,2.8465,0.0922,-0.5826,0.8093,0.0125,0.9596,-2.1899,0.2493,1.4938,-0.8144,-0.9016,-1.214,-0.4043,-1.2618,1.0788,1.0064,-0.7232,0.6333,0.0911,2.5171,0.5459
3g0w,1.2806,0.5872,3.0665,-0.4409,-0.4744,0.2667,0.6629,-0.1024,0.758,-0.6265,-0.388,-0.8144,-0.4347,0.1344,-0.5073,-0.3793,-0.4229,-0.1678,-0.0038,-0.7009,0.2476,-0.8233,-0.7859
3g2n,-0.0809,0.7961,-2.3635,-0.1552,-0.6673,0.6209,0.2608,-0.712,-0.6863,-0.1886,0.578,-0.8144,-0.172,-0.6862,-1.0149,-0.1436,-0.0743,0.0671,-0.7232,0.3665,-0.0561,0.7195,-0.1857
3g2z,-3.7782,0.5560,-4.0935,-0.3232,-1.07,0.4627,-0.2677,-1.4395,-0.0602,-0.4075,-0.9673,-0.2256,-0.6964,-0.202,-0.013,-0.8946,-0.8519,-0.6375,-0.0038,-0.9677,-1.2624,-0.2604,-0.4231
3gbb,0.3180,0.6487,0.4465,-0.058,-0.7978,0.8696,-0.1308,0.9596,-1.3095,-0.1886,0.8546,-0.8144,-0.9016,-0.6573,0.1762,-1.2618,0.5157,0.5367,-0.0038,0.3665,-0.3366,1.1803,0.5536
3gcs,2.1707,0.7155,0.7965,-0.6934,0.1163,-1.0973,0.4218,-0.0183,1.5731,-0.1886,-0.0246,-0.26,-0.4347,0.8972,0.3886,1.1398,0.4889,-0.6375,-0.7232,-0.434,0.8741,-0.1413,-0.402
3ge7,1.4211,1.0447,2.2465,-0.5997,0.4317,-0.208,0.3839,-1.09,-0.528,0.0304,-0.3362,0.913,-0.3886,-0.3934,0.8378,-0.3998,1.4006,-0.6375,-0.0038,-0.9677,0.2272,0.7278,0.3107
3gnw,2.4813,1.2286,2.6465,-0.7831,1.6114,-1.783,2.2759,0.5096,1.9225,0.0304,-0.3629,1.2431,1.3524,1.4265,0.6845,2.5993,1.2129,-0.6375,-0.7232,0.0996,1.4307,-0.331,-0.4151
3gy4,-1.8415,0.6054,-1.3535,0.4026,-1.2037,0.6209,-2.0001,-0.6558,-0.527,-1.0644,-0.9421,-0.8144,-0.9016,-0.1584,-1.0089,-0.3325,-0.9056,-0.6375,-0.7232,-1.2346,-1.2108,-1.1511,-0.7276
3huc,0.8193,0.9467,-0.4635,-0.6585,0.1416,-1.2555,0.0045,-1.4624,1.0612,-0.1886,-0.6413,0.3383,0.5773,-0.158,-0.1898,1.0242,-0.1815,0.3019,-0.0038,-0.9677,-0.1542,-1.276,-0.7128
3imc,-2.1952,0.3835,-3.4935,-0.1958,-1.0342,0.6737,-1.9434,0.4122,0.5338,-1.2833,-0.6969,-0.8144,-0.9016,-0.1584,-0.4599,-0.3134,-1.2005,-0.4026,-0.0038,-0.9677,-1.0586,-1.0829,-1.131
3ivg,-0.5006,0.7721,-2.1535,-0.7157,0.3726,-0.728,0.4224,0.9728,0.3638,0.0304,0.1569,0.7043,-0.172,0.1055,0.0679,0.616,0.3548,-0.6375,-0.7232,0.0996,0.7186,-0.6634,0.8862
3jvs,-0.0783,1.1942,0.0865,-0.5803,0.2853,-1.2103,0.3637,-1.3234,1.2534,0.0304,-0.9673,0.3666,1.6282,-0.2145,0.399,1.2908,0.1403,0.3019,-0.7232,-0.7009,-0.434,-0.6387,-0.4113
