%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 146 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.665851165807231
%.kernel.kernels[0].lengthscales: [  0.46952842   0.52620157   0.71597554   2.42122785   0.50290625   0.96797522   2.20986589   0.9035108    0.68087373   0.83719837   1.4625784  379.64169123   1.90699438   0.61293969   0.5838824 ]
%.kernel.kernels[1].variance: 0.04033735634674036
%.likelihood.variance: 0.904616135180554
%loglikelihood: -6638.540078332004
%RMSE:1.574
%Pearson_correlation_coefficient:0.727,P-value:0.000
%Spearman_correlation_coefficient:0.724,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA
2yfe,-0.2741,0.9107,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134,0.9303,-1.281,-0.9834,0.0023,-0.3135,0.9342,-1.1313,0.0463,-0.081,-0.1672
2yge,-0.2954,0.6096,-1.3935,0.729,0.9818,0.6053,0.442,0.7164,0.5647,0.1403,-0.3744,0.9284,-0.9089,0.363,-0.1334,1.6981,0.8606,1.167
2yki,1.1634,0.9360,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257,1.9203,0.8106,-0.1239,0.7697,-1.8433,-1.2288,-0.021,0.1375,-0.3562,-0.9677
2ymd,0.0932,0.9821,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856,-0.3284,-0.6642,0.1362,-1.8602,0.6435,0.5342,-0.3996,-0.0205,-0.3234,-0.9677
2zjw,-1.1719,0.8510,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595,-0.2327,-0.6642,-1.1221,-0.0015,-0.8184,0.4928,-0.063,-0.7638,0.5035,0.3665
2zwz,-0.7434,0.6879,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306,-1.2618,-0.3961,1.3583,-1.7309,1.6081,-0.7815,0.1584,-1.0848,0.3238,-0.434
2zx6,2.0072,0.6370,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836,-0.1395,0.328,1.3209,0.4803,0.3044,-0.7815,0.6378,-0.1295,0.6046,-0.1672
2zxd,-0.5856,0.7839,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196,-1.2618,-0.7447,0.4411,-1.6895,1.6383,-0.7813,-0.0441,-0.5364,-0.0269,-0.434
3acw,0.0578,1.0163,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937,0.6119,-1.281,-0.9834,-1.4252,0.523,-0.8716,-0.9441,-0.0541,-0.6792,-0.9677
3ag9,0.1804,1.7364,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569,-0.8678,0.6497,0.7118,1.1663,-3.1018,-0.7842,0.2947,2.2044,2.3075,1.167
3ao4,-1.9599,0.5924,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708,-0.5064,-0.3692,-0.6295,-1.8052,0.1236,-0.058,-0.3758,-0.1891,-0.3605,-0.7009
3b3s,-1.0523,0.2073,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-1.281,0.2137,-0.6101,1.3293,0.9259,-0.1891,-0.3811,-0.3347,-0.7009
3b3w,-1.0979,0.1815,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.9592,0.1843,-0.6101,1.3293,0.9259,-0.0587,-0.3811,-0.3347,-0.7009
3b68,1.5576,1.0163,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798,0.5503,0.5961,-0.6175,0.521,-1.0068,0.339,-0.0865,0.2833,-0.0369,-0.1672
3bfu,0.3470,0.4241,-0.1835,-0.9449,-1.1736,-1.1429,-1.214,0.2579,-0.7602,-0.0206,1.3003,-0.4621,0.847,0.9258,0.2426,-0.5855,-0.3347,-0.434
3bkk,0.6087,1.4077,-0.3735,1.4041,0.7046,0.161,0.3564,-0.3942,2.0929,1.7224,1.0032,0.6859,-1.263,0.9694,0.9618,0.1282,0.5937,0.3665
3bpc,-1.4042,1.5353,-1.6535,-0.3912,-0.0064,-1.6724,-0.3721,0.0324,-0.4993,0.3548,1.1546,0.1021,0.1763,0.9276,0.8764,-0.5133,2.6536,2.2344
3cft,-1.5464,1.4816,-2.2635,-0.923,-0.7888,0.2718,-0.6862,0.1154,-0.1286,-1.5491,-1.276,-0.4479,0.5606,3.1064,-0.9521,-0.4896,-0.6626,-0.434
3cj2,-1.7141,1.1401,-1.6035,-1.0085,-0.6427,0.8336,0.3709,-0.0033,-0.3815,-1.4687,-0.8153,0.5051,0.9827,-0.6629,-0.9472,0.7582,-0.6413,-0.9677
3coy,0.3579,0.8894,-0.4335,0.9989,0.274,-1.0419,-1.214,-0.5571,-0.8678,0.9447,0.8561,0.4739,-0.0724,-0.779,-0.0827,-0.4273,0.3266,0.6333
3cyx,1.5617,0.1627,1.5465,2.0913,2.1809,0.3794,1.547,-0.6237,1.1676,1.2129,0.2308,1.3979,-1.5193,-0.8046,-0.1268,1.4869,0.6497,0.0996
3d4z,-0.2763,0.1749,-1.5635,-0.7276,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.1134,1.4337,-1.704,1.0429,-0.7061,0.6571,-0.6879,0.2416,-0.1672
3dd0,1.6601,0.3476,2.5465,-0.8838,-0.7636,0.2769,-0.1231,-0.306,-0.6952,-0.7715,-0.7475,-0.2921,0.8696,0.3805,-0.6482,-1.0848,-1.0024,-0.434
3dxg,-1.8641,0.3097,-4.0535,-0.701,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,-0.4497,-0.6549,-0.0502,0.4175,1.2311,-0.27,-0.6942,-0.3752,1.167
3e93,1.6091,1.0477,2.3965,1.4084,1.1678,1.1982,1.6615,-1.0115,1.1526,0.6497,-0.4935,0.7873,-1.0144,-0.8841,-0.488,1.8467,0.2275,-0.7009
3ebp,0.3497,0.9029,-0.5435,-0.2851,0.2233,0.4448,-0.6862,-0.4968,0.5218,0.1134,-1.276,0.5248,-0.1553,0.528,-0.7943,0.6255,0.2191,-0.1672
3ehy,-0.2352,0.7658,-0.6035,-0.5712,-0.8202,-0.4103,0.1408,0.4267,-0.5064,-0.4229,-0.3038,0.0279,0.5531,0.9752,-0.1648,-1.0848,-0.3946,0.0996
3ejr,2.1900,1.0809,2.1165,0.294,-0.0118,-0.1154,-0.4562,-0.3231,-0.1586,1.2933,1.9129,0.76,0.8018,-0.7856,0.9518,0.2835,-0.052,-0.1672
3f17,0.3404,0.8811,2.1765,-0.1167,-0.4712,0.4563,-0.2002,-0.1625,0.5914,-0.2083,-0.724,0.0799,-0.0347,-1.7252,-0.0036,-1.0335,-1.2932,-0.434
3f3a,-1.1771,0.5008,-2.2635,-0.6129,-0.7671,-0.423,-0.7071,-0.0556,-0.1395,0.1939,0.2297,-0.4508,0.3949,0.9258,0.3237,-0.0205,-0.0292,-0.7009
3f3c,-0.2601,1.0627,-0.4335,-0.684,-1.0911,-0.5284,-0.4432,0.4744,-0.1506,-0.1815,0.46,0.3965,0.6888,0.9258,-0.2068,-0.8437,-0.3347,-0.7009
3f3e,-0.8396,0.3183,1.2465,-1.2816,-1.3079,-0.6319,-0.9566,2.372,-1.2618,-0.8519,0.5122,-0.6101,1.3293,0.9259,-0.5087,-0.3811,-0.3347,-0.7009
3f80,-1.1816,1.3215,-2.2335,-0.8314,-1.1949,-0.8165,-0.9357,2.2846,-0.9457,0.033,-0.5634,-0.614,0.8771,0.9259,0.3298,-0.0348,-0.3347,-0.7009
3fcq,-1.7158,0.4510,-3.6835,-0.979,-1.0623,-0.0493,-0.4079,0.4149,-0.3474,-0.5033,0.062,-0.4469,0.3722,0.9343,-0.2856,-0.2881,-0.3946,-0.1672
3fv1,1.7316,0.5761,2.8465,0.0911,-0.5826,-2.1899,-1.214,0.0922,-1.2618,1.0788,2.5171,0.0125,0.8093,0.9596,0.5459,-0.4043,1.4938,0.6333
3g0w,1.3362,0.9973,3.0665,0.2476,-0.4744,0.758,0.1344,-0.4409,-0.3793,-0.4229,-0.8233,0.6629,0.2667,-0.1024,-0.7859,-0.5073,-0.388,-0.7009
3g2n,0.1061,1.0260,-2.3635,-0.0561,-0.6673,-0.6863,-0.6862,-0.1552,-0.1436,-0.0743,0.7195,0.2608,0.6209,-0.712,-0.1857,-1.0149,0.578,0.3665
3g2z,-2.3963,0.8189,-4.0935,-1.2624,-1.07,-0.0602,-0.202,-0.3232,-0.8946,-0.8519,-0.2604,-0.2677,0.4627,-1.4395,-0.4231,-0.013,-0.9673,-0.9677
3gbb,-0.1279,0.9175,0.4465,-0.3366,-0.7978,-1.3095,-0.6573,-0.058,-1.2618,0.5157,1.1803,-0.1308,0.8696,0.9596,0.5536,0.1762,0.8546,0.3665
3gcs,2.3409,0.6375,0.7965,0.8741,0.1163,1.5731,0.8972,-0.6934,1.1398,0.4889,-0.1413,0.4218,-1.0973,-0.0183,-0.402,0.3886,-0.0246,-0.434
3ge7,1.2067,1.2760,2.2465,0.2272,0.4317,-0.528,-0.3934,-0.5997,-0.3998,1.4006,0.7278,0.3839,-0.208,-1.09,0.3107,0.8378,-0.3362,-0.9677
3gnw,2.1433,1.5438,2.6465,1.4307,1.6114,1.9225,1.4265,-0.7831,2.5993,1.2129,-0.331,2.2759,-1.783,0.5096,-0.4151,0.6845,-0.3629,0.0996
3gy4,-1.2532,0.8703,-1.3535,-1.2108,-1.2037,-0.527,-0.1584,0.4026,-0.3325,-0.9056,-1.1511,-2.0001,0.6209,-0.6558,-0.7276,-1.0089,-0.9421,-1.2346
3huc,0.1814,1.2029,-0.4635,-0.1542,0.1416,1.0612,-0.158,-0.6585,1.0242,-0.1815,-1.276,0.0045,-1.2555,-1.4624,-0.7128,-0.1898,-0.6413,-0.9677
3imc,-2.6183,0.3507,-3.4935,-1.0586,-1.0342,0.5338,-0.1584,-0.1958,-0.3134,-1.2005,-1.0829,-1.9434,0.6737,0.4122,-1.131,-0.4599,-0.6969,-0.9677
3ivg,-0.2873,0.6511,-2.1535,0.7186,0.3726,0.3638,0.1055,-0.7157,0.616,0.3548,-0.6634,0.4224,-0.728,0.9728,0.8862,0.0679,0.1569,0.0996
3jvs,0.0151,1.2289,0.0865,-0.434,0.2853,1.2534,-0.2145,-0.5803,1.2908,0.1403,-0.6387,0.3637,-1.2103,-1.3234,-0.4113,0.399,-0.9673,-0.7009
3k5v,1.0957,0.9460,-0.1535,0.1281,-0.1967,1.0601,0.3694,-0.572,0.8089,-0.6642,-1.276,0.0775,-0.9691,1.2386,-1.0132,-0.1812,-0.3254,-0.7009
3kgp,-1.7499,0.3144,-3.8835,-1.1807,-1.1876,-0.5089,-0.971,0.4101,-0.1586,-1.1201,-0.935,-0.7226,0.7415,0.9359,-0.5788,-1.0149,-0.3347,-0.7009
3kv2,-1.1498,1.0618,0.8665,-0.8575,-1.2322,-1.3598,-1.214,2.0682,-1.2618,-0.0206,1.2964,-0.5964,0.6285,0.9259,0.817,-0.3984,0.6621,-0.434
3kwa,-0.8279,1.5056,-2.3735,-0.9461,-0.7574,-1.3206,-1.214,2.846,-1.2618,-0.8251,-0.4219,-1.8596,1.6383,-1.1064,0.004,0.4744,0.0592,-1.2346
3l3n,-0.8543,0.6164,1.7265,1.2831,0.9671,-0.7404,0.3709,-0.2824,0.9787,0.6766,0.7487,1.0074,-1.0219,0.9694,0.8188,1.2547,1.2301,0.0996
3l4u,-1.0241,1.6362,1.0665,-0.2404,-0.5981,-1.6315,-1.214,0.9196,-1.2618,-0.1279,0.7581,-1.5599,1.7513,-0.6948,0.2887,-0.1507,1.5293,1.167
3l4w,-1.2735,0.4783,-0.4535,-0.7874,-1.0086,-1.5784,-1.214,0.8908,-1.2618,-0.3424,0.6103,-1.6682,1.578,-0.7453,-0.1226,-1.2831,0.5752,0.0996
3l7b,-0.5933,1.5173,-4.0535,-0.2351,-0.7305,-0.8222,-0.9501,-0.0763,-0.5523,0.0598,0.423,1.3437,0.5908,-0.712,-0.179,-0.9855,0.2895,0.0996
3lka,0.9751,0.3476,-3.6335,-1.0213,-1.0976,-0.0312,-0.1584,0.3347,-0.5064,-1.1201,-0.8281,-0.3548,0.9525,0.4124,-0.3676,-1.2831,-1.0024,-0.434
3mfv,-0.4428,0.6357,-3.9335,-0.7766,-1.053,-0.9732,-0.9357,0.3622,-0.8909,0.033,0.5829,-0.5437,0.5832,0.9259,0.4471,-0.4371,0.3219,-0.7009
3mss,-1.4425,0.8471,-1.7935,-0.8897,-0.3497,0.2221,-0.2002,-0.215,0.7858,-1.2005,-1.276,0.1268,0.003,0.3269,-0.7259,-0.3092,-0.3258,-0.7009
3myg,1.0815,0.8053,4.2465,0.1197,0.4694,0.419,0.4867,-0.6834,0.0548,-0.0743,-0.3258,-1.3806,-0.3663,-0.752,-0.3218,0.6645,-0.3533,-0.9677
3n7a,-1.5272,0.8357,-2.7535,-0.9898,-1.2429,-1.0151,-0.9497,0.4932,-0.8835,-0.7983,1.5591,-0.5483,1.0731,0.9558,-0.1138,-0.8437,0.2554,0.0996
3n86,0.5208,1.0573,-0.8135,0.5362,-0.4336,-0.4639,0.0999,-0.1235,0.0459,0.8375,1.7494,0.265,0.0859,0.9558,0.2906,0.002,0.5814,0.3665
3nox,0.2336,0.3743,2.2065,-0.1812,0.0974,0.549,-0.1231,-0.5942,0.3415,-0.2888,-0.4243,0.5569,0.1085,-0.8841,0.1245,0.3494,-0.351,-0.7009
3nq3,-0.8402,0.8478,-2.6735,-1.3285,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.6028,-1.276,-0.6582,1.3594,0.9943,-0.8112,0.2602,-0.6854,-0.7009
3nw9,1.4539,1.3171,2.5465,1.4307,0.8478,0.4664,0.6268,-0.9591,1.1775,1.8833,1.3838,0.7883,-1.5494,0.4937,1.4254,-0.7716,0.578,0.3665
3oe5,0.4089,1.4415,0.4265,0.7767,0.0488,0.1486,-0.6862,-0.6158,0.7479,1.4274,1.6104,0.3339,-0.6451,0.492,0.9065,0.1525,0.578,0.3665
3ov1,-0.5538,0.6558,-1.2535,-0.043,0.3606,-0.5755,0.1134,-0.0087,-0.3325,0.4889,1.7908,0.7359,-1.2028,1.8743,0.6038,0.0813,0.6646,1.167
3owj,-0.1961,0.7120,-0.3835,-0.5312,-0.0765,0.937,1.1613,-0.3577,0.358,-1.2542,-1.1267,0.2301,-0.3135,0.5342,-1.2286,0.1962,-0.3686,-0.7009
3ozt,0.0724,1.5281,-2.3235,0.7366,0.1316,-0.2066,-1.214,-0.5584,1.0675,1.4542,1.6359,0.333,-1.0596,0.492,0.768,0.4991,0.8583,0.6333
3pe2,1.0883,0.8332,3.3065,0.0495,0.032,0.5615,0.0846,-0.63,0.798,0.1134,-1.0318,-0.3828,-1.2404,0.9359,-0.3344,0.0762,-0.3595,-0.7009
3pww,2.0301,0.2497,0.8665,1.8734,2.1809,0.3794,1.547,-0.6237,1.1676,1.5078,0.5458,1.3979,-1.5193,-0.8046,0.5095,1.4869,0.6497,0.0996
3pxf,-2.1813,1.0280,-2.0235,-1.1766,-0.287,0.9378,0.0768,-0.3358,0.8157,-1.6832,-1.276,-0.2132,-0.0272,3.1064,-1.0617,-0.4751,-0.6878,-0.434
3s8o,-0.1830,0.4106,0.3965,0.088,0.6643,-0.2149,0.1134,0.2683,-0.3325,0.8106,1.8107,1.015,-1.2028,1.8743,0.572,0.4778,0.6646,1.167
3su2,0.2802,0.3288,0.8965,1.2127,2.0791,0.9821,1.6177,-0.8502,0.2508,1.776,-0.0499,1.4709,-1.6097,-0.1644,0.043,2.339,0.241,1.167
3su3,0.1570,0.5332,2.6765,1.2833,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.8564,-0.1474,1.655,-1.361,-0.1083,0.0889,2.6496,0.241,1.167
3su5,-0.0086,0.4365,-0.8735,1.1822,2.4597,1.2135,1.4294,-0.7733,-0.1354,1.3469,-0.1151,1.655,-1.361,-0.1083,-0.0684,2.6496,0.241,1.167
3u9q,-0.8509,0.5740,-2.0735,-1.1726,-1.0355,0.4416,-0.6573,2.4716,-1.2618,-1.3346,-0.3029,-0.6582,1.3594,0.9943,-0.8594,0.2602,-0.6854,-0.7009
3udh,-1.9232,0.7766,-3.6035,-1.005,-0.8648,-0.1849,-0.7071,-0.3728,-0.3325,-0.9324,-0.2605,0.1748,0.7415,-1.232,-0.662,-0.5695,-0.6417,-0.9677
3ueu,-0.7667,0.6598,-1.2135,-1.1876,-0.8549,0.682,-0.6573,2.6706,-1.2618,-1.8441,-1.276,-0.6109,1.3594,0.9943,-1.2555,0.5245,-0.6854,-0.7009
3uex,0.1822,0.5182,0.4665,-0.7477,-0.2815,1.4031,-0.6573,3.0537,-1.2618,-1.5759,-1.2282,-0.5255,1.3594,0.9943,-1.1878,1.3174,-0.6854,-0.7009
3uo4,-0.0674,1.2646,0.0665,0.1629,0.2159,1.0939,0.3276,-0.7591,1.7492,-0.1011,-0.0697,-0.4757,-1.3987,0.9359,-0.1895,-0.169,-0.0335,-0.7009
3uri,0.6993,1.7023,2.5465,2.4234,3.2757,-1.5883,0.6616,-0.4395,0.9923,1.0252,0.2602,1.4814,-2.6421,0.9694,-0.1886,3.3134,2.846,1.167
3utu,1.2517,1.5787,4.4665,1.2749,1.6478,-0.0303,1.676,-0.6358,1.6683,1.481,-0.7968,1.2287,-1.9865,0.3953,-0.2761,0.1851,-0.0497,0.3665
3vh9,-1.9590,0.7410,-0.2135,-1.1442,-1.0879,0.4611,-0.6862,-0.0603,-0.1245,-0.8519,0.0827,-2.0053,0.5757,0.5094,-0.1303,-0.7259,-0.9796,-0.9677
3zso,-0.0233,1.6121,-1.3335,0.5444,1.4224,0.8142,1.3836,-0.7437,2.819,0.7838,-0.0325,1.1948,-2.2201,0.9342,1.0673,-0.4785,1.104,0.6333
3zsx,-1.3295,1.3309,-3.1735,-0.0368,0.6778,0.3192,0.085,-0.626,2.0785,-0.4497,0.2859,0.7185,-1.3309,0.9342,-0.5556,-0.1653,0.5225,0.0996
4de1,-0.4113,0.8706,-0.4935,-0.2029,-0.2079,0.478,0.5609,-0.8125,0.4271,0.328,0.6488,0.2752,-0.9164,-1.4921,0.1347,0.0847,-0.9673,-0.9677
4de2,-0.5744,0.6640,-2.3335,-0.1454,-0.1059,0.0985,0.0693,-0.5469,0.5969,0.2475,0.3593,0.4166,-0.5471,-1.2146,-0.0711,-0.2043,-0.6669,-0.9677
4des,-0.5809,0.4365,-0.6035,-0.3419,-0.5203,0.7479,-1.214,-0.4064,0.5687,-0.7983,-1.276,0.0924,-0.3135,0.5313,3.8989,-0.141,-0.3948,-0.434
4dew,-1.2542,0.2996,0.5465,-0.4522,-0.4526,0.5665,-0.4223,-0.4169,0.1909,-0.7178,-1.0902,0.1283,-0.615,0.5313,3.518,-0.141,0.2324,0.0996
4djr,3.2118,0.6123,5.0665,1.4386,1.2748,0.8831,0.6348,-0.5368,0.5945,1.1056,0.483,1.1968,-0.5471,-0.1258,1.0054,0.906,-0.0369,0.3665
4djv,0.3460,1.0515,0.2665,0.1585,0.2762,0.4125,0.0637,-0.5248,1.5412,0.0866,-0.9153,0.8479,-0.9541,0.4122,-0.3754,-0.7467,-1.0024,-0.7009
4g8m,0.0888,0.5148,1.4365,-0.9962,-1.1911,-1.3313,-0.6573,0.4489,-1.2618,0.0598,1.584,-0.5743,0.9299,0.9908,0.1411,-0.0306,0.2731,-0.1672
4gid,1.4553,1.0331,4.3165,2.4282,1.9497,0.4793,1.1979,-0.0891,1.889,2.5805,0.8818,1.2716,-1.4514,-0.7877,0.7975,1.4226,0.3238,0.3665
4gqq,-1.9523,0.8766,-3.5635,-1.4072,-0.9503,0.3791,0.1204,0.2207,-0.3322,-1.281,-0.6908,-0.2851,0.2743,0.4941,-0.7564,-0.7931,-0.3752,-0.1672
1c5z,-2.2043,0.0727,-2.4435,-1.3742,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498,0.7716,-1.7141,-0.6088,-1.2831,-1.2932,-1.2346
1eby,2.3254,0.7496,3.2465,2.2029,1.6583,0.6113,0.2439,-0.8835,3.1812,1.2129,1.0484,1.3316,-1.572,-0.7479,0.084,-0.4043,1.1947,0.9002
1g2k,2.3673,0.9958,1.5065,1.7009,1.6816,0.8571,0.8554,-0.5974,2.8483,0.9983,0.841,1.6899,-1.4514,0.3585,0.0516,0.4103,0.2415,0.6333
1gpn,0.7742,0.9430,0.0265,-0.145,-0.2706,0.1917,0.4416,-0.3782,0.1548,-0.3961,-0.9296,0.048,0.7415,-1.2239,-0.5181,1.0012,-0.6622,-0.9677
1h22,1.7827,1.5967,2.6465,1.145,1.049,0.7154,1.5405,-0.7738,0.8446,1.0788,-0.468,0.0786,0.116,-1.2267,0.0363,2.8495,-0.0311,-0.7009
1k1i,0.7272,1.2040,0.1265,0.1774,1.0072,-0.3448,1.6684,-0.5391,1.1635,0.0062,-0.3317,1.0697,-1.0747,0.9694,-0.1823,-0.3091,-0.3846,0.0996
1lpg,1.4169,1.6100,0.6365,0.8923,1.5978,1.0524,1.6262,-0.7911,2.8225,2.0173,-1.276,1.026,-1.9187,0.3266,0.6789,-0.1311,-0.3961,-0.7009
1nc3,0.2869,0.7805,-1.4535,-0.1165,-0.6729,-0.7255,-1.214,-0.5051,-0.8868,0.4352,1.2311,-1.5999,0.3949,-0.712,0.2573,-1.2831,0.2895,-0.1672
1owh,-1.0628,0.7779,0.9465,-0.3556,0.0148,-0.0448,0.8399,-0.5376,1.1485,-0.4229,-0.9378,0.3929,-0.6376,-1.1452,-0.5115,-0.4725,-0.6166,-0.9677
1p1n,0.3499,0.4150,0.3465,-0.6413,-0.9473,-1.1749,-0.6364,0.8638,-0.8835,-0.1011,0.8136,-0.3465,0.734,0.9941,0.0066,0.0355,0.2479,-0.1672
1pxn,0.7462,0.5862,0.6965,-0.0747,-0.3978,0.9106,0.4048,-0.6093,0.0534,-0.7983,-0.8984,-1.7286,-0.2532,0.5344,-0.4913,0.0214,-0.3277,-0.9677
1qf1,-0.5571,1.1016,0.8665,0.1343,-0.1037,0.1243,-0.3934,0.8559,-0.1436,0.1671,0.9511,0.5804,0.2366,0.9696,0.302,0.0814,-0.0335,-0.1672
1qkt,1.3594,0.8434,2.5865,-0.3263,-0.2728,0.9753,2.4785,-0.4281,-0.3474,-1.6296,-0.8025,-1.2442,0.9902,0.5343,-0.9272,-0.0937,-0.666,-0.7009
1s38,-0.8951,0.5666,-1.3035,-0.9184,-0.9083,0.114,-0.4079,-0.0106,-0.1977,-0.5033,0.3832,-0.1709,0.3722,-0.9765,-0.613,-1.0848,-0.9421,-0.9677
1syi,0.8359,1.0266,-1.0135,-0.4561,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.6229,1.7604,-0.0092,0.3346,0.9254,0.2847,-0.3439,-0.3347,-0.1672
1y6r,2.2023,0.6342,3.6565,-0.0615,-0.4523,-0.5645,-0.9439,-0.389,-0.698,0.3548,0.5241,-1.4225,0.7415,-0.8176,-0.181,-0.3801,0.3162,-0.7009
1ydr,-0.1630,0.6262,-0.9335,-0.2295,-0.2523,-0.0779,-0.387,-0.3291,-0.1205,-0.8787,-1.1655,0.6472,0.6285,-1.2315,-0.4841,0.0296,-0.9677,-0.7009
1z6e,1.6621,1.1394,3.2665,0.9187,0.8144,0.7371,0.1055,-0.929,1.166,1.0788,-0.4188,1.5633,-1.7981,-0.2638,-0.3712,0.1688,-0.0381,-0.9677
1z9g,-0.9397,0.3220,-0.8135,-0.7978,-0.838,-0.2034,-0.6927,0.5465,-0.1436,-1.0128,-0.1838,-0.1042,0.636,0.9882,-0.4611,-0.3215,-0.3595,-0.434
2al5,0.2423,1.2684,1.9465,-0.5599,-0.9495,-1.358,-1.214,0.5279,-0.2357,0.6229,1.7745,0.4086,0.2818,0.9254,0.2316,-1.2831,-0.3347,-0.1672
2br1,0.3306,1.1143,-1.3135,0.286,0.2344,1.0889,0.6124,-0.5965,0.4461,-0.0475,-1.276,-1.5727,-0.939,0.4124,-0.6968,-0.4335,0.1991,-0.434
2c3i,1.1270,0.7620,1.1465,-0.1742,-0.092,0.9172,0.691,-0.7604,0.2382,-1.1201,-1.276,0.0151,-0.2683,-0.9867,-0.9706,0.2273,-0.9673,-0.9677
2cbv,-0.3374,0.7223,-0.9735,-0.9397,-1.1157,-1.216,-1.214,0.0156,-1.2618,-0.2888,1.8713,-1.7617,1.6081,-0.7829,0.3711,-0.4043,0.2868,-0.1672
2fxs,-0.6197,1.4953,-0.3935,0.1135,-0.1912,0.6424,-0.6927,-0.1671,-0.1904,0.5961,-0.9752,0.3865,-0.7506,0.5228,0.3363,0.1623,0.8687,0.9002
2j7h,-0.1498,0.5091,0.7365,-1.224,-1.2229,-1.6389,-1.214,0.5796,-1.2618,-0.4497,1.1816,-1.8685,1.6081,-0.5822,-0.0992,-1.2831,-0.3524,-0.434
2p15,1.3036,1.3690,3.8465,0.8739,0.5949,1.9311,2.7489,-0.6192,0.945,-0.6642,-0.7529,0.8752,0.0482,0.5343,-0.7823,0.1674,-0.666,-0.7009
2pog,0.4482,1.0634,3.0865,-0.193,-0.3269,1.1312,0.8987,-0.5529,0.408,-1.4687,-0.3477,-1.3464,0.1311,0.5344,-0.6595,-0.2021,-0.3752,-0.434
2qbq,0.4304,1.2676,0.9865,0.2455,0.1984,0.9991,1.5605,-0.2813,-0.2141,0.462,-0.3146,-0.2078,0.2065,0.9536,0.1303,0.4706,0.5391,0.0996
2qe4,-0.1712,1.1236,1.5065,-0.0728,-0.1119,1.1763,0.8987,-0.5264,0.3931,-1.2273,-0.8314,-1.2765,0.101,0.5344,-0.8606,0.4053,-0.0844,-0.1672
2qnq,0.1469,1.0069,-0.3435,1.4689,1.2277,1.2157,0.3276,-0.5933,2.7996,0.328,-0.0263,1.2965,-0.3211,-1.2314,0.6136,-0.3924,-0.9677,-0.1672
2r9w,-1.0870,0.8795,-1.3535,-0.0892,0.1164,-0.0873,0.5486,-0.6872,1.3224,-0.2083,0.0668,0.3621,-1.2555,0.9691,-0.1128,-1.1509,-0.0776,0.3665
2vkm,1.8167,1.0496,2.2865,2.2491,1.9909,0.8022,1.1691,-0.4934,2.8184,2.6609,0.5911,1.24,-1.7906,0.4123,0.8468,0.5847,0.2886,0.3665
2w4x,-1.4654,0.6800,-1.6035,-0.6382,-0.957,-1.0274,-1.214,0.5545,-1.1085,-0.7983,0.2656,-0.0278,0.7566,-0.712,-0.3355,-0.7486,0.578,0.3665
2wer,1.0060,0.3235,0.5965,-0.0218,-0.2674,0.6926,-0.6504,-0.3765,0.1885,-0.557,-0.8895,0.4121,0.0181,0.5228,-0.2031,0.3534,-0.0844,0.3665
2wn9,-0.6515,0.8756,2.0665,-0.632,-0.2617,0.93,0.906,-0.3624,0.5904,-0.7983,-0.6991,-1.5412,-0.2156,0.5329,-0.7204,0.7172,-0.6888,-0.7009
2wnc,0.4378,0.8857,-0.1335,-0.3263,-0.2026,0.3355,-0.9501,-0.7274,-0.1395,-0.4229,-1.114,0.407,0.3949,-0.0075,-0.8208,1.2976,-0.3966,-0.7009
2wvt,-1.6531,0.4737,-0.3335,-1.026,-1.1455,-1.5639,-1.214,0.7852,-1.2618,-0.4229,0.6016,-1.7654,1.578,-0.75,0.1886,-1.2831,0.6004,0.0996
2xii,0.1571,1.1952,0.7465,0.1221,0.1758,-0.4311,-0.1649,-0.7102,0.5819,0.6766,0.4678,0.6487,-0.1854,-0.7815,0.2883,-0.5484,0.2991,0.0996
