%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5221001131129814
%.kernel.kernels[0].lengthscales: [0.36822722 0.14963058 0.2964185  0.69196113 0.07348571 0.3151871  1.23038882]
%.kernel.kernels[1].variance: 0.1637174033658069
%.likelihood.variance: 1.0856459224440753
%loglikelihood: -6920.6321042006
%RMSE:1.685
%Pearson_correlation_coefficient:0.674,P-value:0.000
%Spearman_correlation_coefficient:0.669,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all
4abg,-2.5044,1.0129,-2.8835,-1.0848,-0.6914,-0.5178,-0.6862,-0.0181,-0.3325,-1.0664
4agn,-0.8918,1.3072,-2.4835,-0.4368,-0.0881,-0.1945,0.899,0.1505,-0.4247,-0.3692
4agp,0.2381,1.3430,-1.7635,-0.2537,0.4584,0.4484,1.4268,-0.4102,0.5196,-0.4497
4agq,0.2701,1.3783,-1.4435,-0.1817,0.4941,0.4586,1.4268,-0.3952,0.5196,-0.1547
4bkt,-1.0525,1.3694,-2.8335,-1.0332,-0.6643,-0.3729,-0.9148,-0.2179,-0.7149,-0.7447
4cig,-0.3562,1.3122,-2.7835,0.1593,1.0328,0.592,0.819,-0.5889,2.0629,0.0062
4ciw,-0.8517,1.3586,-1.6335,-0.5322,-1.0534,-1.0913,-0.428,0.7302,-0.8985,-0.1547
4cr9,-1.5978,1.2650,-2.3535,-1.033,-0.9201,0.3894,0.3838,-0.0101,-0.3325,-0.6642
4cra,1.6377,1.0870,0.7665,0.99,1.1813,0.7942,0.8554,-0.8545,2.2276,0.9715
4crc,1.3882,1.3187,2.2665,1.1449,0.9298,0.7491,1.8237,-0.9182,1.8956,1.7492
4ddh,-0.6592,0.7144,-3.1535,-0.6045,-0.8977,0.0894,-0.6862,-0.1938,-0.3263,-0.7178
4ddk,-2.1902,0.9465,-4.1635,-0.8898,-1.2119,-0.2049,-0.4223,-0.3002,-0.5213,-1.0933
4de3,-0.5664,0.6227,-0.9335,-0.3841,-0.5078,0.7511,0.3332,-0.6236,0.5628,-0.1011
4dld,-0.5802,0.6689,-0.6335,-0.0925,-0.6859,-0.8042,0.0925,0.8676,-0.0632,0.6229
4dli,0.5644,0.6731,-0.8335,-0.2227,-0.2785,0.9272,0.1344,-0.6627,0.2491,-0.2888
4e5w,1.3077,1.2484,1.2065,0.5348,0.4788,0.3352,0.2051,-0.8227,-0.49,0.2743
4e6q,0.2761,1.4483,1.9065,0.1233,0.2539,0.5819,-0.9501,-0.8131,0.6282,-0.9324
4ea2,0.4830,1.2960,-0.0135,0.1174,0.18,0.6738,2.4113,-0.4134,-0.5351,-1.2005
4eky,-0.2281,1.3329,-2.9335,0.4277,-0.2429,-0.8575,-0.9357,-0.0014,-0.2437,1.0788
4eo8,0.1539,1.4986,1.6965,-0.3797,0.0471,0.3957,1.3184,0.1897,-0.7681,-0.986
4eor,2.0147,0.4513,-0.1535,0.225,0.2439,0.6961,0.6557,-0.79,-0.3093,-0.2083
4f09,1.0708,0.6903,0.2465,-0.4519,-0.2931,0.2081,-0.6509,-0.5319,-0.505,-0.9056
4f2w,2.4345,0.2255,4.8465,-0.093,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.0475
4f3c,2.7280,0.3760,5.3665,0.1633,-0.0801,0.0016,-0.6865,-0.4925,-0.698,0.462
4f9w,1.3817,0.6267,0.4865,-0.0201,0.0728,1.2265,0.5551,-0.5849,1.0127,-0.2888
4gfm,-0.6955,0.6363,0.7665,-0.4049,-0.8475,0.6669,-0.4219,-0.3447,0.1599,-0.262
4gkm,-0.2990,1.1429,-1.2835,-0.4917,-0.5996,0.0067,-0.1231,-0.0804,0.5819,-0.6374
4gr0,2.5950,1.4993,3.0965,1.8231,1.3896,1.4383,1.4539,-0.6574,1.6703,1.776
4hge,1.1188,0.9886,1.4665,0.2225,-0.0871,0.8273,0.1408,-0.7734,0.9591,-0.4497
4ih5,-1.1139,1.0424,-2.3435,-0.601,-0.692,0.4154,-0.6862,-0.6498,0.0725,-0.9592
4ih7,-0.1008,1.3974,-1.2135,-0.7217,-0.6443,0.8599,-0.2272,0.0575,0.2198,-0.8787
4ivb,0.7989,0.6003,2.2665,0.0754,-0.067,0.8556,0.4625,-0.4918,-0.505,-0.3424
4ivc,0.6590,1.0544,3.5465,0.1659,0.0353,0.9758,0.7199,-0.4971,-0.505,-0.2083
4ivd,0.8125,1.3147,3.0665,0.2716,0.1383,1.096,0.9983,-0.5106,-0.505,-0.1815
4j21,0.8443,0.7607,0.9565,-0.0507,-0.3575,1.0153,0.3629,-0.3491,0.7148,0.033
4j28,0.1961,1.0739,-0.7535,-0.9925,-0.5767,-0.3551,-0.387,-0.4029,-0.3243,-0.5838
4j3l,0.8294,1.0938,1.3465,0.3305,0.0673,0.9518,0.3629,-0.528,0.8887,0.3816
4jfs,-0.4071,1.4294,-1.1835,-0.8535,-0.6725,-0.3293,0.1408,0.0875,-0.3325,-0.8519
4jia,1.1211,1.3644,2.7665,0.2106,0.6431,0.4494,1.6477,-0.9226,0.8157,-0.1815
4jsz,-1.8998,0.2141,-4.1535,-1.5088,-1.1979,-0.0338,-0.6862,0.3968,-0.3175,-1.4955
4jxs,-0.5992,1.4336,-1.7135,-0.4528,-0.5306,-0.4591,-0.2302,-0.2525,0.3502,-0.3156
4k18,1.4163,1.1012,2.5065,0.408,0.1501,0.8765,0.6124,-0.7681,1.5124,-0.2888
4k77,-0.6010,0.8071,0.1765,-0.4033,-0.502,0.4988,-0.3934,-0.4567,-0.3594,-0.7447
4kz6,-1.9512,1.1865,-3.3535,-1.0248,-0.9531,-0.1904,0.1694,0.7042,-1.2618,-1.3882
4kzq,-0.2894,1.2288,-0.3535,-0.199,-0.5397,0.8386,0.3694,-0.4268,0.7575,-0.1547
4kzu,-0.0844,1.1593,0.0465,-0.1824,-0.5547,1.1642,-0.1584,-0.4104,0.8973,-0.1011
4llx,-2.2617,0.8674,-3.5635,-1.5313,-1.3276,0.0714,-0.3516,0.2599,-0.717,-1.4419
4lzs,-0.6690,1.4957,-1.6535,-0.9358,-0.8497,0.3093,-0.0942,0.747,-0.5581,-0.9592
4m0y,0.7680,0.7626,0.0065,-0.5299,-0.3265,0.3609,-0.7149,-0.4186,0.4312,-0.6642
4m0z,0.0861,0.9766,-1.2635,0.2296,-0.2028,0.3635,-0.1871,-0.4036,0.2423,0.328
4mgd,0.3794,1.5242,-1.7635,-0.3955,-0.8372,1.2805,0.3276,-0.0236,0.5969,-1.6028
4mme,-0.4726,1.2121,0.0465,-0.0998,-0.4277,0.4515,-0.4223,-0.5553,0.9278,-0.5838
4ogj,0.7913,1.1080,0.3365,-0.0594,1.0835,0.9128,1.8303,-0.7847,0.616,-0.557
4owm,-2.0310,0.3093,-3.4935,-1.4823,-1.2755,-0.2072,-0.9501,0.3707,-0.3395,-1.6564
4pcs,-1.2890,0.7813,1.3965,-1.064,-0.7429,-0.4159,-0.1284,-0.1429,-0.1436,-0.9324
4qac,1.0752,0.8971,2.9465,0.0897,-0.3098,1.0898,0.1279,-0.4266,-0.1436,-0.0743
4qd6,0.2164,1.5128,2.1865,-0.4158,0.9007,1.3309,0.934,-0.824,1.1934,-0.262
4rfm,0.6205,1.4453,3.5965,0.6255,0.9512,1.0295,-0.136,-0.9918,0.7721,-0.0206
4twp,1.8974,0.4965,3.5465,0.309,0.2913,1.2926,1.162,-0.7965,1.3496,-0.3961
4ty7,1.4175,1.1684,3.0665,0.7472,0.9485,0.9838,0.9485,-0.821,0.7661,1.052
4u4s,-1.2604,0.6432,-3.5335,-0.9028,-0.8976,-0.0883,-0.6509,-0.0922,-0.6871,-0.7447
4w9c,-0.6517,1.0366,-1.8035,-0.4069,0.1165,0.5891,-0.7345,-0.4918,0.0596,-0.691
4w9h,0.0736,1.2424,0.2765,0.1558,0.4864,0.5557,-0.1923,-0.3836,0.017,0.328
4w9i,-0.0610,1.4014,-0.4935,0.0404,0.4556,0.0722,-0.4288,-0.7428,0.017,-0.3424
4w9l,-0.0389,0.9004,-1.4335,0.3962,1.148,0.7192,0.0442,-0.2058,0.017,0.0062
4wiv,-0.2770,1.1420,-0.1935,-0.4503,0.2318,1.1874,0.5252,-0.5666,0.4305,-0.7447
4x6p,1.9769,1.0650,1.8465,1.218,1.2571,1.1812,1.3465,-0.9946,2.0817,2.1514
5a7b,-0.1206,1.4652,-2.8835,-0.0524,0.6005,0.2564,0.4401,-0.3652,0.5819,-0.0475
5aba,-0.0775,1.3111,-3.4735,-0.7548,-0.2133,-0.015,0.0095,-0.3451,-0.4134,-0.7983
5c28,-2.6139,0.9036,-0.7935,-1.2313,-1.1246,0.4481,-0.3581,-0.3304,-0.7448,-1.281
5c2h,1.4756,1.2710,4.6365,0.5891,0.4687,1.6144,0.7682,-0.8614,0.8713,0.4084
5dwr,1.7488,1.1786,4.7665,0.7335,0.4126,1.1965,1.1417,-0.6568,1.1546,0.0062
